Boreo	23	0	10695758	-1	Mouse	7	chr7
Boreo	23	7193889	8241270	-1	Chicken	14	chr14
Boreo	23	0	9021815	-1	Guinea pig	s2709	scaffold_4
Boreo	23	4818774	6023936	-1	Opossum	6	chr6
Boreo	23	0	209957	1	Opossum	6	chr6
Boreo	23	0	10695758	-1	Rat	1	chr1
Boreo	23	10044016	10695758	1	Human	16	chr16
Boreo	23	23782524	23866313	1	Chicken	14	chr14
Boreo	23	4557716	4818774	-1	Opossum	6	chr6
Boreo	23	12279805	25572441	1	White rhinoceros	s2716	JH767793
Boreo	23	1111174	1700034	1	Shrew	s2737	scaffold00089
Boreo	23	22988797	23724379	-1	Pig	3	chr3
Boreo	23	0	25572441	1	Horse	13	chr13
Boreo	23	9021815	25572441	1	Shrew	s2741	scaffold00012
Boreo	23	4718851	7193889	1	White rhinoceros	s2713	JH767855
Boreo	23	11543282	12279805	-1	Chicken	14	chr14
Boreo	23	7168439	10788600	-1	Opossum	6	chr6
Boreo	23	6023936	7168439	1	Opossum	6	chr6
Boreo	23	11543282	25572441	1	Elephant	s2730	scaffold_53
Boreo	23	14420158	21754606	1	Opossum	6	chr6
Boreo	23	0	1111174	-1	Chimp	16	chr16
Boreo	23	24211479	24519994	-1	Pig	3	chr3
Boreo	23	0	728119	-1	Hedgehog	s2719	scaffold00453
Boreo	23	1700034	12279805	-1	Rhesus	20	chr20
Boreo	23	0	1111174	-1	capHir1	25	chr25
Boreo	23	12279805	12801486	1	Rhesus	6	chr6
Boreo	23	1111174	1700034	1	Rabbit	6	chr6
Boreo	23	15437245	22988797	-1	Marmoset	12	chr12
Boreo	23	1700034	2450763	1	Chicken	14	chr14
Boreo	23	6023936	7193889	1	Chicken	14	chr14
Boreo	23	23866313	24211479	1	Chicken	14	chr14
Boreo	23	1111174	4557716	1	Opossum	6	chr6
Boreo	23	9021815	11543282	1	Guinea pig	s2710	scaffold_4
Boreo	23	14520998	20800905	1	Chicken	14	chr14
Boreo	23	0	1111174	-1	Shrew	s2736	scaffold00089
Boreo	23	10044016	10695758	1	Gorilla	16	chr16
Boreo	23	20800905	21381064	-1	Chicken	14	chr14
Boreo	23	10695758	25572441	-1	Orangutan	16	chr16
Boreo	23	1700034	25572441	-1	capHir1	25	chr25
Boreo	23	10695758	25572441	-1	Human	16	chr16
Boreo	23	18000582	22988797	-1	Hedgehog	s2726	scaffold00165
Boreo	23	10695758	25572441	-1	Chimp	16	chr16
Boreo	23	6023936	11543282	-1	Hedgehog	s2723	scaffold00055
Boreo	23	10304597	11543282	1	Elephant	s2729	scaffold_124
Boreo	23	10788600	11543282	1	Opossum	6	chr6
Boreo	23	0	4718851	-1	White rhinoceros	s2712	JH767802
Boreo	23	0	11543282	1	Tenrec	s2717	scaffold00022
Boreo	23	22988797	25572441	-1	Hedgehog	s2727	scaffold00356
Boreo	23	23097216	23782524	-1	Chicken	14	chr14
Boreo	23	23724379	25572441	-1	Marmoset	12	chr12
Boreo	23	10695758	15437245	1	Marmoset	12	chr12
Boreo	23	4718851	9021815	-1	Shrew	s2740	scaffold00012
Boreo	23	2959462	4718851	1	Shrew	s2739	scaffold00012
Boreo	23	1111174	1700034	1	capHir1	25	chr25
Boreo	23	10044016	10695758	1	Orangutan	16	chr16
Boreo	23	21381064	22988797	-1	Chicken	14	chr14
Boreo	23	10044016	10695758	1	Chimp	16	chr16
Boreo	23	1700034	10044016	-1	Gorilla	16	chr16
Boreo	23	7193889	9021815	-1	White rhinoceros	s2714	JH767861
Boreo	23	12801486	25572441	-1	Rhesus	20	chr20
Boreo	23	0	1111174	-1	Gorilla	16	chr16
Boreo	23	11543282	20390613	-1	Rabbit	6	chr6
Boreo	23	10695758	25572441	-1	Gorilla	16	chr16
Boreo	23	23724379	24211479	1	Pig	3	chr3
Boreo	23	2959462	6023936	-1	Hedgehog	s2722	scaffold00304
Boreo	23	11543282	25572441	-1	Tenrec	s2718	scaffold00022
Boreo	23	23039010	25572441	-1	Opossum	6	chr6
Boreo	23	14520998	18000582	1	Hedgehog	s2725	scaffold00593
Boreo	23	22988797	23724379	1	Marmoset	12	chr12
Boreo	23	24519994	25572441	-1	Pig	3	chr3
Boreo	23	0	1111174	1	Pig	3	chr3
Boreo	23	0	25572441	1	Dog	6	chr6
Boreo	23	11543282	22988797	1	Pig	3	chr3
Boreo	23	11543282	23397090	-1	Pika	s2734	scaffold00026
Boreo	23	0	1111174	-1	Rhesus	20	chr20
Boreo	23	10695758	25572441	1	Rat	10	chr10
Boreo	23	1700034	2959462	-1	Shrew	s2738	scaffold00089
Boreo	23	1111174	1700034	1	Chimp	16	chr16
Boreo	23	11543282	14420158	-1	Opossum	6	chr6
Boreo	23	1700034	10044016	-1	Human	16	chr16
Boreo	23	9021815	9877480	1	Chicken	14	chr14
Boreo	23	0	10304597	-1	Elephant	s2728	scaffold_65
Boreo	23	9021815	11543282	1	Pika	s2733	scaffold00026
Boreo	23	1700034	9021815	-1	Rabbit	6	chr6
Boreo	23	21754606	23039010	1	Opossum	6	chr6
Boreo	23	310506	9021815	-1	Pika	s2732	scaffold00026
Boreo	23	1700034	10044016	-1	Chimp	16	chr16
Boreo	23	22988797	23097216	-1	Chicken	14	chr14
Boreo	23	9021815	12279805	1	White rhinoceros	s2715	JH767834
Boreo	23	2450763	4718851	-1	Chicken	14	chr14
Boreo	23	24985794	25195548	-1	Chicken	14	chr14
Boreo	23	209957	1111174	-1	Opossum	6	chr6
Boreo	23	9877480	11543282	-1	Chicken	14	chr14
Boreo	23	4718851	6023936	-1	Chicken	14	chr14
Boreo	23	23397090	25572441	-1	Pika	s2735	scaffold00086
Boreo	23	11543282	14520998	-1	Hedgehog	s2724	scaffold00431
Boreo	23	1111174	1700034	1	Human	16	chr16
Boreo	23	9021815	11543282	1	Rabbit	6	chr6
Boreo	23	8241270	9021815	-1	Chicken	14	chr14
Boreo	23	11543282	25572441	-1	Guinea pig	s2711	scaffold_4
Boreo	23	0	1111174	-1	Human	16	chr16
Boreo	23	0	310506	1	Pika	s2731	scaffold00026
Boreo	23	1700034	10695758	1	Pig	3	chr3
Boreo	23	0	10044016	-1	Orangutan	16	chr16
Boreo	23	10695758	22988797	-1	Mouse	16	chr16
Boreo	23	25195548	25572441	-1	Chicken	14	chr14
Boreo	23	1700034	2959462	-1	Hedgehog	s2721	scaffold00356
Boreo	23	22988797	25572441	1	Mouse	17	chr17
Boreo	23	0	25572441	-1	Cow	25	chr25
Boreo	23	1111174	1700034	1	Rhesus	20	chr20
Boreo	23	728119	1111174	1	Hedgehog	s2720	scaffold00899
Boreo	23	0	10695758	-1	Marmoset	12	chr12
Boreo	23	1111174	1700034	1	Gorilla	16	chr16
Boreo	23	24211479	24985794	1	Chicken	14	chr14
